time,phase,average_waiting_time,maximum_waiting_time,average_queue_length,maximum_queue_length,throughput,average_travel_time,number_of_stops,number_of_switches,safety_violations,illegal_switch_attempts,vehicles_exceeding_max_wait,cumulative_reward,controller,seed,experiment,scenario,inference_time_seconds
300,EAST_GREEN,0.046511627906976744,1,0.006666666666666667,1,43,1.0465116279069768,2,0,0,0,0,84.0,Fixed Time,10,traffic_scenario,low,
300,EAST_GREEN,0.046511627906976744,1,0.006666666666666667,1,43,1.0465116279069768,2,0,0,92,0,84.0,Q-Learning,10,traffic_scenario,low,0.016156999998202082
300,EAST_GREEN,0.046511627906976744,1,0.006666666666666667,1,43,1.0465116279069768,2,0,0,116,0,84.0,SARSA,10,traffic_scenario,low,0.013998099995660596
300,NORTH_GREEN,0.09090909090909091,1,0.016666666666666666,1,55,1.0909090909090908,5,0,0,0,0,105.0,Fixed Time,20,traffic_scenario,low,
300,NORTH_GREEN,0.09090909090909091,1,0.016666666666666666,1,55,1.0909090909090908,5,0,0,91,0,105.0,Q-Learning,20,traffic_scenario,low,0.012404100001731422
300,NORTH_GREEN,0.09090909090909091,1,0.016666666666666666,1,55,1.0909090909090908,5,0,0,149,0,105.0,SARSA,20,traffic_scenario,low,0.020141000000876375
300,NORTH_GREEN,0.24603174603174602,4,0.10333333333333333,2,126,1.246031746031746,31,0,0,0,0,219.8,Fixed Time,10,traffic_scenario,medium,
300,NORTH_GREEN,0.24603174603174602,4,0.10333333333333333,2,126,1.246031746031746,31,0,0,190,0,219.8,Q-Learning,10,traffic_scenario,medium,0.02611310000065714
300,NORTH_GREEN,0.24603174603174602,4,0.10333333333333333,2,126,1.246031746031746,31,0,0,68,0,219.8,SARSA,10,traffic_scenario,medium,0.016325600001437124
300,SOUTH_GREEN,0.36923076923076925,4,0.16,2,130,1.3692307692307693,48,0,0,0,0,210.0,Fixed Time,20,traffic_scenario,medium,
300,SOUTH_GREEN,0.36923076923076925,4,0.16,2,130,1.3692307692307693,48,0,0,204,0,210.0,Q-Learning,20,traffic_scenario,medium,0.017158399998152163
300,SOUTH_GREEN,0.36923076923076925,4,0.16,2,130,1.3692307692307693,48,0,0,59,0,210.0,SARSA,20,traffic_scenario,medium,0.02105170000140788
300,EAST_GREEN,0.8796296296296297,7,0.6333333333333333,5,216,1.8796296296296295,190,0,0,0,0,227.6,Fixed Time,10,traffic_scenario,high,
300,EAST_GREEN,0.8888888888888888,7,0.64,5,216,1.8888888888888888,192,1,0,154,0,225.0,Q-Learning,10,traffic_scenario,high,0.016983800000161864
300,EAST_GREEN,0.8796296296296297,7,0.6333333333333333,5,216,1.8796296296296295,190,0,0,17,0,227.6,SARSA,10,traffic_scenario,high,0.023065800000040326
300,NORTH_GREEN,1.2067510548523206,8,0.9533333333333334,6,237,2.2067510548523206,286,0,0,0,0,157.6,Fixed Time,20,traffic_scenario,high,
300,NORTH_GREEN,1.2067510548523206,8,0.9533333333333334,6,237,2.2067510548523206,286,0,0,154,0,157.6,Q-Learning,20,traffic_scenario,high,0.0191188000026159
300,NORTH_GREEN,1.2067510548523206,8,0.9533333333333334,6,237,2.2067510548523206,286,0,0,11,0,157.6,SARSA,20,traffic_scenario,high,0.02279600000474602
300,EAST_GREEN,0.2925170068027211,4,0.14333333333333334,2,147,1.2925170068027212,43,0,0,0,0,249.5,Fixed Time,10,traffic_scenario,balanced,
300,EAST_GREEN,0.2925170068027211,4,0.14333333333333334,2,147,1.2925170068027212,43,0,0,180,0,249.5,Q-Learning,10,traffic_scenario,balanced,0.024919200004660524
300,EAST_GREEN,0.2925170068027211,4,0.14333333333333334,2,147,1.2925170068027212,43,0,0,86,0,249.5,SARSA,10,traffic_scenario,balanced,0.020329300001321826
300,SOUTH_GREEN,0.5838509316770186,5,0.32,4,161,1.5838509316770186,96,0,0,0,0,219.9,Fixed Time,20,traffic_scenario,balanced,
300,SOUTH_GREEN,0.5838509316770186,5,0.32,4,161,1.5838509316770186,96,0,0,195,0,219.9,Q-Learning,20,traffic_scenario,balanced,0.015928400003758725
300,SOUTH_GREEN,0.5838509316770186,5,0.32,4,161,1.5838509316770186,96,0,0,93,0,219.9,SARSA,20,traffic_scenario,balanced,0.01938549999613315
300,NORTH_GREEN,0.2462686567164179,4,0.11,3,134,1.2462686567164178,33,0,0,0,0,233.4,Fixed Time,10,traffic_scenario,asymmetric,
300,NORTH_GREEN,0.2462686567164179,4,0.11,3,134,1.2462686567164178,33,0,0,181,0,233.4,Q-Learning,10,traffic_scenario,asymmetric,0.021350499999243766
300,NORTH_GREEN,0.2462686567164179,4,0.11,3,134,1.2462686567164178,33,0,0,16,0,233.4,SARSA,10,traffic_scenario,asymmetric,0.01600959999632323
300,EAST_GREEN,0.5031446540880503,4,0.27,3,159,1.5031446540880504,81,0,0,0,0,233.1,Fixed Time,20,traffic_scenario,asymmetric,
300,EAST_GREEN,0.5031446540880503,4,0.27,3,159,1.5031446540880504,81,0,0,194,0,233.1,Q-Learning,20,traffic_scenario,asymmetric,0.02285239999764599
300,EAST_GREEN,0.5031446540880503,4,0.27,3,159,1.5031446540880504,81,0,0,18,0,233.1,SARSA,20,traffic_scenario,asymmetric,0.025378300000738818
300,EAST_GREEN,0.18487394957983194,3,0.07333333333333333,2,119,1.184873949579832,22,0,0,0,0,215.5,Fixed Time,10,traffic_scenario,unseen,
